accession,pfam,pfam_name,length,entropy,effective_alphabet,is_rbd
A0A0R4IEW8,PF00076,RRM_1,71,3.990952846304895,15.899977802625575,True
A0A0R4IEW8,PF00076,RRM_1,68,3.894715011865843,14.873940612374426,True
A0A0R4IEW8,PF00076,RRM_1,70,4.0317685543524195,16.35623231601328,True
A0A2R8Y4L2,PF00076,RRM_1,67,4.0510185801489,16.575937693404416,True
A0A2R8Y4L2,PF00076,RRM_1,60,3.751619972655997,13.469458734504684,True
A0A8M1NHK4,PF00076,RRM_1,65,3.948079253887887,15.434418813819269,True
A0A8M1NHK4,PF00076,RRM_1,62,3.8262582556788565,14.1846461419596,True
A0A8M1NHK4,PF00076,RRM_1,64,4.0679884298164914,16.772065098451627,True
A0AV96,PF00076,RRM_1,65,3.8504097839556293,14.424103850985105,True
A0AV96,PF00076,RRM_1,62,3.7901480789445423,13.834015558371329,True
A0AV96,PF00076,RRM_1,64,4.109876767019874,17.266176868549255,True
A1A6K6,PF00076,RRM_1,71,4.085138930434955,16.972638235346434,True
A2A5N3,PF00076,RRM_1,71,4.105624810390476,17.2153643587908,True
A2A5N3,PF00076,RRM_1,67,3.9560256252742687,15.519666224675257,True
A2A5N3,PF00076,RRM_1,69,3.856491539411528,14.485037750495083,True
A2A5N3,PF00076,RRM_1,68,3.9579040184492404,15.539886035892648,True
A2RVS6,PF00076,RRM_1,68,3.8286443665841055,14.20812590922081,True
A2RVS6,PF00076,RRM_1,63,4.023413511915775,16.26178264722863,True
A6NDE4,PF00076,RRM_1,70,3.827488605633425,14.196748160780256,True
A6NDY0,PF00076,RRM_1,70,3.9736565456652357,15.710492969843347,True
A6NEQ0,PF00076,RRM_1,70,3.827488605633425,14.196748160780256,True
A6NFN3,PF00076,RRM_1,67,3.8825565431667663,14.749115594018479,True
A6PVI3,PF00076,RRM_1,63,3.979685138865561,15.776279800264394,True
B0S6S9,PF00076,RRM_1,64,4.06007847002467,16.680359414823396,True
B2RXH8,PF00076,RRM_1,60,3.8556004886147885,14.476094128286876,True
B2RY56,PF00076,RRM_1,69,3.927082342357568,15.211413792017094,True
B3DJT0,PF00076,RRM_1,70,4.002368247350371,16.026286272714007,True
B3DJT0,PF00076,RRM_1,69,4.024747198461337,16.276822657690325,True
B7ZW38,PF00076,RRM_1,62,3.8666814399800917,14.587709195483818,True
D0VWM8,PF00076,RRM_1,66,3.9981581364696526,15.979586113590065,True
D0VWM8,PF00076,RRM_1,60,3.804574504151558,13.973044639399129,True
D3YXK2,PF00076,RRM_1,69,3.980843298075637,15.788949684836993,True
D3Z4I3,PF00076,RRM_1,58,3.922552660842555,15.163728867174882,True
E9PYH6,PF00076,RRM_1,65,3.9040933436584186,14.97094456745974,True
F1Q8J0,PF00076,RRM_1,67,3.8082624233356093,14.008809217680081,True
F1Q8J0,PF00076,RRM_1,75,3.962627366054845,15.59084661175974,True
F1QB54,PF00076,RRM_1,70,4.087383688275125,16.9990673263384,True
F1QB54,PF00076,RRM_1,67,3.958870828040589,15.550303446159987,True
F1QB54,PF00076,RRM_1,69,3.975288452129804,15.728273970014103,True
F1QB54,PF00076,RRM_1,68,3.9370361965508076,15.316727615910334,True
F4HT49,PF00076,RRM_1,71,4.0228495013258865,16.25542647023263,True
F4HT49,PF00076,RRM_1,69,3.9943143655611943,15.937068383922501,True
F4HT49,PF00076,RRM_1,70,3.7338435118913718,13.304510364917784,True
F4HT49,PF00076,RRM_1,69,3.8273637261077678,14.195519344989064,True
F4HWF9,PF00076,RRM_1,68,4.030870100768121,16.346049470538823,True
F4I3B3,PF00076,RRM_1,67,4.108499406934317,17.249700486906228,True
F4I3B3,PF00076,RRM_1,71,3.962194480389875,15.586169225774192,True
F4I3B3,PF00076,RRM_1,64,3.842931742411679,14.349531625528655,True
F4I9J7,PF00076,RRM_1,67,3.8552064088240674,14.472140446521593,True
F4JCU0,PF00076,RRM_1,71,4.055602007794795,16.628683022194434,True
F4JCU0,PF00076,RRM_1,65,3.830652668338025,14.227918085040244,True
F4JHI7,PF00076,RRM_1,67,3.761182581804222,13.55903482862228,True
F4JHI7,PF00076,RRM_1,55,3.9639915866482713,15.605596377160499,True
F4KIA8,PF00076,RRM_1,73,4.069847341721813,16.79368982545148,True
G5EEW6,PF00076,RRM_1,71,3.9926845794938264,15.919074736192284,True
G5EFS2,PF00076,RRM_1,68,4.090924335473017,17.040837495957273,True
G5EFS2,PF00076,RRM_1,67,3.9946836919277446,15.941148756319482,True
G5EGK6,PF00076,RRM_1,42,3.758289077943268,13.531867754942725,True
O00425,PF00076,RRM_1,65,3.835121807652691,14.272061258991739,True
O00425,PF00076,RRM_1,66,3.9860839461468736,15.846407979599196,True
O01159,PF00076,RRM_1,70,3.8944879761461797,14.871600096868251,True
O04319,PF00076,RRM_1,70,3.9708448042596998,15.679903812769073,True
O04319,PF00076,RRM_1,68,3.968830248995116,15.658023936814201,True
O04319,PF00076,RRM_1,69,4.01871544375806,16.208913051649095,True
O04319,PF00076,RRM_1,69,4.019696248525151,16.219936299081155,True
O04425,PF00076,RRM_1,63,4.069137075744922,16.785424010108024,True
O04425,PF00076,RRM_1,67,4.024493483529854,16.273960438216513,True
O08583,PF00076,RRM_1,69,3.9471414435931367,15.424389075765378,True
O14979,PF00076,RRM_1,68,3.77641224800371,13.702927584930471,True
O14979,PF00076,RRM_1,60,3.909846597558495,15.03076567407511,True
O15042,PF00076,RRM_1,73,3.971929656922014,15.691698947640763,True
O15047,PF00076,RRM_1,65,3.9040933436584186,14.97094456745974,True
O22173,PF00076,RRM_1,70,3.8807102967127145,14.730252920128072,True
O22173,PF00076,RRM_1,69,3.9690620083320582,15.66053949598431,True
O22173,PF00076,RRM_1,69,3.96461988533993,15.612394148601323,True
O22173,PF00076,RRM_1,69,3.8922073864652984,14.848109876188143,True
O22315,PF00076,RRM_1,68,3.733815234000184,13.304249589217696,True
O22315,PF00076,RRM_1,63,3.997863663115191,15.97632479918127,True
O22703,PF00076,RRM_1,70,3.9740255677932774,15.714512018160038,True
O22922,PF00076,RRM_1,71,4.1534261780413715,17.79532255529066,True
O22922,PF00076,RRM_1,60,3.973336121136104,15.707004035467847,True
O23212,PF00076,RRM_1,70,3.9618148110465157,15.582068004185746,True
O35326,PF00076,RRM_1,62,3.64717110974724,12.528754615392483,True
O35326,PF00076,RRM_1,66,3.9858413335559124,15.84374337291117,True
O35698,PF00076,RRM_1,71,3.7733225151192116,13.67361225470524,True
O43251,PF00076,RRM_1,67,3.9054760439621368,14.985299820603714,True
O43347,PF00076,RRM_1,68,3.983525306238016,15.818329059121027,True
O43347,PF00076,RRM_1,67,3.904224506065027,14.972305710547545,True
O43390,PF00076,RRM_1,65,4.060830030161261,16.68905117486374,True
O43390,PF00076,RRM_1,63,4.059915042238468,16.6784699789143,True
O43390,PF00076,RRM_1,62,3.7418843077124455,13.378869480208742,True
O43719,PF00076,RRM_1,78,3.979502088377188,15.774278218196702,True
O43719,PF00076,RRM_1,55,3.9766618777759075,15.743254197788607,True
O45181,PF00076,RRM_1,66,3.8646292123437904,14.566972992499524,True
O60506,PF00076,RRM_1,66,4.040775468486825,16.45866560911169,True
O60506,PF00076,RRM_1,63,4.047932700934286,16.54052017717774,True
O60506,PF00076,RRM_1,62,3.818395658372173,14.107550984623224,True
O60812,PF00076,RRM_1,62,3.8666814399800917,14.587709195483818,True
O62203,PF00076,RRM_1,75,4.045634865910614,16.514196433311017,True
O64380,PF00076,RRM_1,70,3.9885929261908117,15.873990325146309,True
O64380,PF00076,RRM_1,68,3.916302232812322,15.098174627150927,True
O64380,PF00076,RRM_1,69,3.9489631395217275,15.443877805897424,True
O64380,PF00076,RRM_1,69,3.8886037621828793,14.8110679252831,True
O64571,PF00076,RRM_1,61,3.938934782048664,15.336897685954975,True
O70343,PF00076,RRM_1,61,3.782350864273363,13.759449679177072,True
O75494,PF00076,RRM_1,70,3.886945685150753,14.794055470003032,True
O75526,PF00076,RRM_1,71,3.7768246288584653,13.70684499819147,True
